,data/2023/QTR1/20230208_10-K_edgar_data_913144_0000913144-23-000011.txt,data/2023/QTR1/20230223_10-K_edgar_data_944695_0000950170-23-004178.txt,data/2023/QTR1/20230331_10-K_edgar_data_33992_0001654954-23-004080.txt,data/2023/QTR1/20230315_10-K_edgar_data_1412100_0001412100-23-000030.txt,data/2023/QTR1/20230310_10-K_edgar_data_1400810_0000950170-23-007271.txt,data/2023/QTR1/20230217_10-K_edgar_data_1096343_0001096343-23-000033.txt,data/2023/QTR1/20230224_10-K_edgar_data_11544_0000011544-23-000004.txt,data/2023/QTR1/20230223_10-K_edgar_data_20286_0000020286-23-000008.txt,data/2023/QTR1/20230224_10-K_edgar_data_1669162_0001669162-23-000009.txt,data/2023/QTR1/20230207_10-K_edgar_data_60086_0000060086-23-000025.txt
data/2023/QTR1/20230208_10-K_edgar_data_913144_0000913144-23-000011.txt,0.9999999999999998,0.6767160386028549,0.8620153734088256,0.8978061555469068,0.7902022134270886,0.7882608291804194,0.8372578657114895,0.7684939515550238,0.8459771576535435,0.6602775552940867
data/2023/QTR1/20230223_10-K_edgar_data_944695_0000950170-23-004178.txt,0.6767160386028549,1.0000000000000004,0.667390157688199,0.6653224605712589,0.6788359452634641,0.5482994600436777,0.6328791180038486,0.6641610812989175,0.6688204906348614,0.4723047265748802
data/2023/QTR1/20230331_10-K_edgar_data_33992_0001654954-23-004080.txt,0.8620153734088256,0.667390157688199,0.9999999999999997,0.8475837886376835,0.9232771474768428,0.8096153662600362,0.9150247785833862,0.9001126552694328,0.9402233710948502,0.7261454984267733
data/2023/QTR1/20230315_10-K_edgar_data_1412100_0001412100-23-000030.txt,0.8978061555469068,0.6653224605712589,0.8475837886376835,1.0000000000000004,0.8080300726648026,0.7721838640136367,0.8232234365970923,0.760661127101567,0.8321348678805054,0.6084476017516594
data/2023/QTR1/20230310_10-K_edgar_data_1400810_0000950170-23-007271.txt,0.7902022134270886,0.6788359452634641,0.9232771474768428,0.8080300726648026,0.9999999999999998,0.7857857629128269,0.9314080489654485,0.9374155237569476,0.9563822754486275,0.7218911096548197
data/2023/QTR1/20230217_10-K_edgar_data_1096343_0001096343-23-000033.txt,0.7882608291804194,0.5482994600436777,0.8096153662600362,0.7721838640136367,0.7857857629128269,1.0000000000000002,0.824989408183646,0.798300621778131,0.8557532721019413,0.5721805281947564
data/2023/QTR1/20230224_10-K_edgar_data_11544_0000011544-23-000004.txt,0.8372578657114895,0.6328791180038486,0.9150247785833862,0.8232234365970923,0.9314080489654485,0.824989408183646,0.9999999999999999,0.9410688821598114,0.9671445997305643,0.7672875620965981
data/2023/QTR1/20230223_10-K_edgar_data_20286_0000020286-23-000008.txt,0.7684939515550238,0.6641610812989175,0.9001126552694328,0.760661127101567,0.9374155237569476,0.798300621778131,0.9410688821598114,1.000000000000001,0.9455012719121264,0.7468158174689242
data/2023/QTR1/20230224_10-K_edgar_data_1669162_0001669162-23-000009.txt,0.8459771576535435,0.6688204906348614,0.9402233710948502,0.8321348678805054,0.9563822754486275,0.8557532721019413,0.9671445997305643,0.9455012719121264,0.9999999999999994,0.7480798696062353
data/2023/QTR1/20230207_10-K_edgar_data_60086_0000060086-23-000025.txt,0.6602775552940867,0.4723047265748802,0.7261454984267733,0.6084476017516594,0.7218911096548197,0.5721805281947564,0.7672875620965981,0.7468158174689242,0.7480798696062353,1.0
